"regional","regra"
12002,"(inc_3 > 16.7 & temp_min_1 > 23.6 & temp_max_3 > 32.2) | (inc_3 > 16.7 & temp_min_1 > 23.6 & temp_max_3 <= 32.2) | (inc_3 > 16.7 & temp_min_1 <= 23.6 & umid_min_2 > 63.4) | (inc_3 <= 16.7 & inc_3 > 0 & umid_min_1 > 57)"
12001,"(inc_3 > 32.1 & temp_max_1 > 32.3) | (inc_3 <= 32.1 & umid_min_3 > 87.9)"
12003,"(umid_min_3 > 87.9 & umid_min_3 <= 88.9) | (umid_min_3 > 87.9 & umid_min_3 > 88.9 & umid_min_1 <= 57.8) | (umid_min_3 <= 87.9 & inc_3 > 16.3)"
27010,"(inc_3 > 10.6) | (inc_3 <= 10.6 & inc_3 > 0)"
27005,"(inc_3 > 5.7 & umid_max_1 > 96) | (inc_3 > 5.7 & umid_max_1 <= 96)"
27007,"(inc_3 > 23.6) | (inc_3 <= 23.6 & inc_3 > 0 & temp_min_1 > 23.7)"
27001,"(inc_3 > 0 & temp_max_1 > 29 & umid_max_3 > 91) | (inc_3 > 0 & temp_max_1 > 29 & umid_max_3 <= 91)"
27008,"(inc_3 > 0 & umid_max_3 > 85.9)"
27003,"(inc_3 > 43.1) | (inc_3 <= 43.1 & inc_3 > 1.5 & temp_max_1 > 30)"
27009,"(inc_3 > 52.5) | (inc_3 <= 52.5 & inc_3 > 8.6)"
27006,"(inc_3 > 1.7)"
27002,"(inc_3 > 11.9 & temp_min_1 > 24.4) | (inc_3 > 11.9 & temp_min_1 <= 24.4)"
13008,"(inc_3 > 0)"
13009,"(inc_3 > 2.5)"
13002,"(inc_3 > 7.5)"
13003,"(inc_3 > 12)"
13001,"(inc_3 > 0.1)"
13006,"(inc_3 > 25.3) | (inc_3 <= 25.3 & inc_3 > 6.4)"
13007,"(inc_3 > 11.2 & temp_max_1 <= 30.1) | (inc_3 <= 11.2 & umid_min_2 > 88.8)"
16001,"(temp_min_1 > 23.7 & umid_max_3 <= 69.6) | (temp_min_1 <= 23.7)"
16002,"(inc_3 > 0)"
